"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","getColumns(String, String, String, String, String, String) [22] null, information_schema, %in%, last_altered, information_schema.engines.last_altered, information_schema.engines.engine_name","","Tue Jan 13 04:43:44 UTC 2026","passed","Tue Jan 13 04:43:44 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","735","shouldInsertAndRetrieveUrl()","","Tue Jan 13 04:41:58 UTC 2026","passed","Tue Jan 13 04:41:59 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndRetrieveUrl"
"","1674","shouldCancelAsyncQueryWithFiles()","","Tue Jan 13 04:41:46 UTC 2026","passed","Tue Jan 13 04:41:48 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldCancelAsyncQueryWithFiles"
"","282","shouldExecuteWithByteArraysForSelect()","","Tue Jan 13 04:41:38 UTC 2026","passed","Tue Jan 13 04:41:38 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldExecuteWithByteArraysForSelect"
"","771","nullableBiDimensionalArray()","","Tue Jan 13 04:41:55 UTC 2026","passed","Tue Jan 13 04:41:55 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","500","preparedStatementUsingDefaultNulls()","","Tue Jan 13 04:41:37 UTC 2026","passed","Tue Jan 13 04:41:38 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","46","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Tue Jan 13 04:41:31 UTC 2026","passed","Tue Jan 13 04:41:31 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","863","shouldNotRollbackTransactionWhenRollbackWasManuallyExecuted()","","Tue Jan 13 04:54:07 UTC 2026","passed","Tue Jan 13 04:54:08 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotRollbackTransactionWhenRollbackWasManuallyExecuted"
"","502","integerAndStringWithNullValues(PreparedStatementValueSetter) set OBJECT","","Tue Jan 13 04:41:51 UTC 2026","passed","Tue Jan 13 04:41:51 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","47","getTables(String, String, String, String, String, String) [28] {database}, information%, %in%, VIEW, engines, tables","","Tue Jan 13 04:43:42 UTC 2026","passed","Tue Jan 13 04:43:42 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","122","getTables(String, String, String, String, String, String) [31] null, null, null, VIEW;TABLE, engines, null","","Tue Jan 13 04:43:42 UTC 2026","passed","Tue Jan 13 04:43:42 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","230","shouldThrowExceptionWhenFilesMapIsNull()","","Tue Jan 13 04:41:38 UTC 2026","passed","Tue Jan 13 04:41:39 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldThrowExceptionWhenFilesMapIsNull"
"","618","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Tue Jan 13 04:42:17 UTC 2026","passed","Tue Jan 13 04:42:17 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","479","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet()","","Tue Jan 13 04:43:08 UTC 2026","passed","Tue Jan 13 04:43:09 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet"
"","94","getColumns(String, String, String, String, String, String) [1] null, null, null, null, information_schema.columns.column_name, null","","Tue Jan 13 04:43:42 UTC 2026","passed","Tue Jan 13 04:43:42 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","41","nanRealUserEngine(String) [1] select 'nan'::real","","Tue Jan 13 04:42:26 UTC 2026","passed","Tue Jan 13 04:42:26 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","175","shouldThrowExceptionWhenExecutingWrongQueryWithJsonError()","","Tue Jan 13 04:44:45 UTC 2026","passed","Tue Jan 13 04:44:45 UTC 2026","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldThrowExceptionWhenExecutingWrongQueryWithJsonError"
"","304","empty(String) query:     ;","","Tue Jan 13 04:43:10 UTC 2026","passed","Tue Jan 13 04:43:10 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","45","minusInfFloatAsDoubleSystemEngine(String) [1] select '-inf'::float","","Tue Jan 13 04:42:26 UTC 2026","passed","Tue Jan 13 04:42:26 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfFloatAsDoubleSystemEngine"
"","536","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Tue Jan 13 04:42:03 UTC 2026","passed","Tue Jan 13 04:42:03 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","46","getColumns(String, String, String, String, String, String) [28] {database}, information%, %in%, engine_name, information_schema.engines.engine_name, information_schema.engines.description","","Tue Jan 13 04:43:44 UTC 2026","passed","Tue Jan 13 04:43:44 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","49","infDoubleUserEngine(String) [2] select '+inf'::double","","Tue Jan 13 04:42:27 UTC 2026","passed","Tue Jan 13 04:42:27 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleUserEngine"
"","43","nanFloatAsDoubleSystemEngine(String) [3] select '-nan'::float","","Tue Jan 13 04:42:27 UTC 2026","passed","Tue Jan 13 04:42:27 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleSystemEngine"
"","42","infDoubleSystemEngine(String) [2] select '+inf'::double","","Tue Jan 13 04:42:28 UTC 2026","passed","Tue Jan 13 04:42:28 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infDoubleSystemEngine"
"","1630","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest()","","Tue Jan 13 04:39:22 UTC 2026","passed","Tue Jan 13 04:39:24 UTC 2026","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest"
"","47","getTables(String, String, String, String, String, String) [7] {database}, information_schema, null, null, tables, null","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","320","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet()","","Tue Jan 13 04:43:05 UTC 2026","passed","Tue Jan 13 04:43:05 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingAStatementThatReturnsAResultSet"
"","42","nanDoubleSystemEngine(String) [3] select '-nan'::double","","Tue Jan 13 04:42:27 UTC 2026","passed","Tue Jan 13 04:42:27 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleSystemEngine"
"","81","getColumns(String, String, String, String, String, String) [3] null, information%, null, null, information_schema.columns.column_name, null","","Tue Jan 13 04:43:42 UTC 2026","passed","Tue Jan 13 04:43:42 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","46","infRealUserEngine(String) [2] select '+inf'::real","","Tue Jan 13 04:42:27 UTC 2026","passed","Tue Jan 13 04:42:27 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","47","getSchemasInformationSchema(String, String, String) [8] {database}, information%, information_schema","","Tue Jan 13 04:43:40 UTC 2026","passed","Tue Jan 13 04:43:40 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","79","shouldReturnColumnsFromSelect()","","Tue Jan 13 04:41:31 UTC 2026","passed","Tue Jan 13 04:41:31 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumnsFromSelect"
"","43","successfulConnect(boolean, boolean) V2 using db:true engine:true","","Tue Jan 13 04:41:10 UTC 2026","passed","Tue Jan 13 04:41:10 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","568","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Tue Jan 13 04:42:18 UTC 2026","passed","Tue Jan 13 04:42:18 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","512","emptyIntAndStringValues(PreparedStatementValueSetter) set OBJECT","","Tue Jan 13 04:41:53 UTC 2026","passed","Tue Jan 13 04:41:53 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","46","minusInfDoubleUserEngine(String) [1] select '-inf'::double","","Tue Jan 13 04:42:27 UTC 2026","passed","Tue Jan 13 04:42:27 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfDoubleUserEngine"
"","42","infRealSystemEngine(String) [1] select 'inf'::real","","Tue Jan 13 04:42:26 UTC 2026","passed","Tue Jan 13 04:42:26 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealSystemEngine"
"","627","shouldInsertAndSelectStreams()","","Tue Jan 13 04:42:14 UTC 2026","passed","Tue Jan 13 04:42:14 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","48","getTables(String, String, String, String, String, String) [4] null, %schema, null, null, tables, null","","Tue Jan 13 04:43:40 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","60","getColumns(String, String, String, String, String, String) [11] null, null, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Tue Jan 13 04:43:43 UTC 2026","passed","Tue Jan 13 04:43:43 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","87","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting()","","Tue Jan 13 04:53:51 UTC 2026","passed","Tue Jan 13 04:53:51 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesAndSecondsWhenUsingTime_ZoneSetting"
"","49","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables, null","","Tue Jan 13 04:43:40 UTC 2026","passed","Tue Jan 13 04:43:40 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","340","setCorrectThenWrongParameterOnUserEngine()","","Tue Jan 13 04:43:01 UTC 2026","passed","Tue Jan 13 04:43:01 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","45","getTables(String, String, String, String, String, String) [33] null, null, null, TABLE, null, null","","Tue Jan 13 04:43:42 UTC 2026","passed","Tue Jan 13 04:43:42 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","780","executeCancelServerSideAsyncQueryWorksOnDifferentEngines()","","Tue Jan 13 04:39:30 UTC 2026","passed","Tue Jan 13 04:39:31 UTC 2026","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryWorksOnDifferentEngines"
"","45","getTables(String, String, String, String, String, String) [13] null, information%, %in%, null, engines, tables","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","404","unlimitedMaxFieldSize(int) [2] -1","","Tue Jan 13 04:43:00 UTC 2026","passed","Tue Jan 13 04:43:00 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","49","getTables(String, String, String, String, String, String) [2] null, null, null, TABLE;VIEW, tables;views;integration_test, null","","Tue Jan 13 04:41:31 UTC 2026","passed","Tue Jan 13 04:41:31 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","42","nanRealUserEngine(String) [2] select '+nan'::real","","Tue Jan 13 04:42:26 UTC 2026","passed","Tue Jan 13 04:42:26 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","57","getColumns(String, String, String, String, String, String) [15] null, %form%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Tue Jan 13 04:43:43 UTC 2026","passed","Tue Jan 13 04:43:43 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","268","empty(String) query:;","","Tue Jan 13 04:43:09 UTC 2026","passed","Tue Jan 13 04:43:10 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","324","shouldResetTheParameterIndex()","","Tue Jan 13 04:41:59 UTC 2026","passed","Tue Jan 13 04:41:59 UTC 2026","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldResetTheParameterIndex"
"","5636","shouldExecuteAsyncWithFilesAndCheckRunningStatus()","","Tue Jan 13 04:41:40 UTC 2026","passed","Tue Jan 13 04:41:46 UTC 2026","","integration.tests.ParquetStatementTest","integration.tests.ParquetStatementTest","shouldExecuteAsyncWithFilesAndCheckRunningStatus"
"","567","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet()","","Tue Jan 13 04:43:39 UTC 2026","passed","Tue Jan 13 04:43:40 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnFalseWhenExecutingMultiStatementWithFirstStatementNotReturningAResultSet"
"","10225","successfulConnectWithoutStartingTheEngine()","","Tue Jan 13 04:41:21 UTC 2026","passed","Tue Jan 13 04:41:31 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnectWithoutStartingTheEngine"
"","340","maxFieldSize(int) [1] 1","","Tue Jan 13 04:43:06 UTC 2026","passed","Tue Jan 13 04:43:06 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","48","getTables(String, String, String, String, String, String) [15] null, %form%, %in%, null, engines, tables","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","254","shouldThrowExceptionWhenStartingTransactionDuringTransaction()","","Tue Jan 13 04:53:58 UTC 2026","passed","Tue Jan 13 04:53:58 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldThrowExceptionWhenStartingTransactionDuringTransaction"
"","47","getTables(String, String, String, String, String, String) [10] null, public, null, TABLE, integration_test, tables;columns;views","","Tue Jan 13 04:41:32 UTC 2026","passed","Tue Jan 13 04:41:32 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","5655","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines()","","Tue Jan 13 04:39:24 UTC 2026","passed","Tue Jan 13 04:39:30 UTC 2026","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeServerSideAsyncTestFetchStatusWorksOnDifferentEngines"
"","34","shouldThrowExceptionOn400WithoutRetry()","","Tue Jan 13 04:54:08 UTC 2026","passed","Tue Jan 13 04:54:08 UTC 2026","","integration.tests.client.RetryPolicyTest","integration.tests.client.RetryPolicyTest","shouldThrowExceptionOn400WithoutRetry"
"","1565","shouldInsertAndSelectComplexStruct()","","Tue Jan 13 04:42:14 UTC 2026","passed","Tue Jan 13 04:42:16 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectComplexStruct"
"","55","getColumns(String, String, String, String, String, String) [17] {database}, information_schema, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Tue Jan 13 04:43:43 UTC 2026","passed","Tue Jan 13 04:43:43 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","47","getTables(String, String, String, String, String, String) [9] {database}, %schema, null, null, tables, null","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","697","shouldNotCommitOnSetStatement()","","Tue Jan 13 04:54:03 UTC 2026","passed","Tue Jan 13 04:54:04 UTC 2026","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitOnSetStatement"
"","46","getColumns(String, String, String, String, String, String) [30] {database}, %form%, %in%, type, information_schema.engines.type, information_schema.engines.status","","Tue Jan 13 04:43:44 UTC 2026","passed","Tue Jan 13 04:43:44 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","49","getTables(String, String, String, String, String, String) [6] {database}, null, null, null, tables, null","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","301","empty(String) query:/* {""app"": ""dbt"", ""dbt_version"": ""0.20.0"", ""profile_name"": ""jaffle_shop"", ""target_name"": ""fb_app"", ""connection_name"": ""macro_stage_external_sources""} */;","","Tue Jan 13 04:43:10 UTC 2026","passed","Tue Jan 13 04:43:11 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","46","getTables(String, String, String, String, String, String) [12] null, information_schema, %in%, null, engines, tables","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","508","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Tue Jan 13 04:41:52 UTC 2026","passed","Tue Jan 13 04:41:53 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","56","getColumns(String, String, String, String, String, String) [13] null, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Tue Jan 13 04:43:43 UTC 2026","passed","Tue Jan 13 04:43:43 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Tue Jan 13 04:42:24 UTC 2026","skipped","Tue Jan 13 04:42:24 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","45","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Tue Jan 13 04:41:32 UTC 2026","passed","Tue Jan 13 04:41:32 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","393","setWrongParameterOnSystemEngineForV2(String, String, String) [1] set foo=bar, query param not allowed: foo, 0","","Tue Jan 13 04:43:08 UTC 2026","passed","Tue Jan 13 04:43:08 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","setWrongParameterOnSystemEngineForV2"
"","46","getTables(String, String, String, String, String, String) [16] {database}, null, %in%, null, engines, tables","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","302","empty(String) query:--;","","Tue Jan 13 04:43:10 UTC 2026","passed","Tue Jan 13 04:43:10 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","45","getTables(String, String, String, String, String, String) [23] null, information%, %in%, VIEW, engines, tables","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","581","preparedStatementUsingExplicitNulls()","","Tue Jan 13 04:41:36 UTC 2026","passed","Tue Jan 13 04:41:37 UTC 2026","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","48","getTables(String, String, String, String, String, String) [8] {database}, information%, null, null, tables, null","","Tue Jan 13 04:43:41 UTC 2026","passed","Tue Jan 13 04:43:41 UTC 2026","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","44","infFloatAsDoubleSystemEngine(String) [2] select '+inf'::float","","Tue Jan 13 04:42:26 UTC 2026","passed","Tue Jan 13 04:42:26 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleSystemEngine"
"","354","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset()","","Tue Jan 13 04:43:05 UTC 2026","passed","Tue Jan 13 04:43:05 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset"
