"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","getColumns(String, String, String, String, String, String) [21] null, null, %in%, created, information_schema.engines.created, information_schema.engines.engine_name","","Fri Nov 28 04:08:48 UTC 2025","passed","Fri Nov 28 04:08:48 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","598","shouldFailAllPreparedStatementsFromBatchIfOneFails()","","Fri Nov 28 04:07:26 UTC 2025","passed","Fri Nov 28 04:07:27 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFailAllPreparedStatementsFromBatchIfOneFails"
"","51","getColumns(String, String, String, String, String, String) [33] null, null, null, does-not-exist, null, information_schema.columns.column_name","","Fri Nov 28 04:08:49 UTC 2025","passed","Fri Nov 28 04:08:49 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","365","shouldSelect1WithEngine()","","Fri Nov 28 04:08:29 UTC 2025","passed","Fri Nov 28 04:08:29 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithEngine"
"","44","nanFloatAsDoubleUserEngine(String) [3] select '-nan'::float","","Fri Nov 28 04:07:40 UTC 2025","passed","Fri Nov 28 04:07:40 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatAsDoubleUserEngine"
"","51","getTables(String, String, String, String, String, String) [7] null, null, %test, null, integration_test, tables;columns;views","","Fri Nov 28 04:06:28 UTC 2025","passed","Fri Nov 28 04:06:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","53","getTables(String, String, String, String, String, String) [15] null, %form%, %in%, null, engines, tables","","Fri Nov 28 04:08:46 UTC 2025","passed","Fri Nov 28 04:08:46 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","355","shouldFetchSpecialCharacters()","","Fri Nov 28 04:07:15 UTC 2025","passed","Fri Nov 28 04:07:16 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFetchSpecialCharacters"
"","51","getTables(String, String, String, String, String, String) [28] {database}, information%, %in%, VIEW, engines, tables","","Fri Nov 28 04:08:46 UTC 2025","passed","Fri Nov 28 04:08:46 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","137","shouldReturnTimestampFromTimestamptz()","","Fri Nov 28 04:17:17 UTC 2025","passed","Fri Nov 28 04:17:17 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptz"
"","44","nanDoubleUserEngine(String) [1] select 'nan'::double","","Fri Nov 28 04:07:39 UTC 2025","passed","Fri Nov 28 04:07:39 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","60","getColumns(String, String, String, String, String, String) [18] {database}, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Fri Nov 28 04:08:48 UTC 2025","passed","Fri Nov 28 04:08:48 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","360","cannotChangeToDatabaseThatDoesNotExist()","","Fri Nov 28 04:08:12 UTC 2025","passed","Fri Nov 28 04:08:13 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","cannotChangeToDatabaseThatDoesNotExist"
"","92","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()","","Fri Nov 28 04:17:17 UTC 2025","passed","Fri Nov 28 04:17:17 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes"
"","550","integerAndStringWithNullValues(PreparedStatementValueSetter) set OBJECT","","Fri Nov 28 04:07:06 UTC 2025","passed","Fri Nov 28 04:07:06 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringWithNullValues"
"","47","successfulConnect(boolean, boolean) V2 using db:false engine:true","","Fri Nov 28 04:06:06 UTC 2025","passed","Fri Nov 28 04:06:06 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","successfulConnect"
"","53","getTables(String, String, String, String, String, String) [12] null, information_schema, %in%, null, engines, tables","","Fri Nov 28 04:08:45 UTC 2025","passed","Fri Nov 28 04:08:45 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","961","validatesOnSystemEngineIfParameterProvided()","","Fri Nov 28 04:06:03 UTC 2025","passed","Fri Nov 28 04:06:04 UTC 2025","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","validatesOnSystemEngineIfParameterProvided"
"","52","getTables(String, String, String, String, String, String) [10] null, public, null, TABLE, integration_test, tables;columns;views","","Fri Nov 28 04:06:28 UTC 2025","passed","Fri Nov 28 04:06:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","50","shouldGetTimeObjectsInDefaultUTCTimezone()","","Fri Nov 28 04:17:16 UTC 2025","passed","Fri Nov 28 04:17:16 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetTimeObjectsInDefaultUTCTimezone"
"","827","shouldInsertAndSelectGeography()","","Fri Nov 28 04:07:20 UTC 2025","passed","Fri Nov 28 04:07:21 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndSelectGeography"
"","136","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings()","","Fri Nov 28 04:17:17 UTC 2025","passed","Fri Nov 28 04:17:17 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestamptzWithTime_zoneSettings"
"","340","maxFieldSize(int) [4] 50","","Fri Nov 28 04:08:12 UTC 2025","passed","Fri Nov 28 04:08:12 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","768","shouldInsertAndSelectStreams()","","Fri Nov 28 04:07:30 UTC 2025","passed","Fri Nov 28 04:07:30 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectStreams"
"","517","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Fri Nov 28 04:07:33 UTC 2025","passed","Fri Nov 28 04:07:33 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","55","getSchemasInformationSchema(String, String, String) [11] wrong_catalog, null, null","","Fri Nov 28 04:08:45 UTC 2025","passed","Fri Nov 28 04:08:45 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","619","getCatalogs()","","Fri Nov 28 04:08:49 UTC 2025","passed","Fri Nov 28 04:08:49 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getCatalogs"
"","348","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime()","","Fri Nov 28 04:08:09 UTC 2025","passed","Fri Nov 28 04:08:10 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime"
"","4","getMetadata()","","Fri Nov 28 04:06:28 UTC 2025","passed","Fri Nov 28 04:06:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getMetadata"
"","52","getTables(String, String, String, String, String, String) [10] {database}, %form%, null, null, tables, null","","Fri Nov 28 04:08:45 UTC 2025","passed","Fri Nov 28 04:08:45 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","62","getColumns(String, String, String, String, String, String) [12] null, information_schema, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Fri Nov 28 04:08:48 UTC 2025","passed","Fri Nov 28 04:08:48 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","523","shouldReplaceParamMarkers()","","Fri Nov 28 04:07:35 UTC 2025","passed","Fri Nov 28 04:07:35 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldReplaceParamMarkers"
"","57","getColumns(String, String, String, String, String, String) [29] {database}, %schema, %in%, region, information_schema.engines.region, information_schema.engines.status","","Fri Nov 28 04:08:49 UTC 2025","passed","Fri Nov 28 04:08:49 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","1699","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest()","","Fri Nov 28 04:05:07 UTC 2025","passed","Fri Nov 28 04:05:09 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryAfterQueryHasFinishedTest"
"","299","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet()","","Fri Nov 28 04:08:14 UTC 2025","passed","Fri Nov 28 04:08:14 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasNotSet"
"","49","nanRealSystemEngine(String) [2] select '+nan'::real","","Fri Nov 28 04:07:40 UTC 2025","passed","Fri Nov 28 04:07:40 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealSystemEngine"
"","56","getTables(String, String, String, String, String, String) [14] null, %schema, %in%, null, engines, tables","","Fri Nov 28 04:08:45 UTC 2025","passed","Fri Nov 28 04:08:46 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","352","setCorrectThenWrongParameterOnUserEngine()","","Fri Nov 28 04:08:06 UTC 2025","passed","Fri Nov 28 04:08:07 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","setCorrectThenWrongParameterOnUserEngine"
"","2073","shouldExecuteBatch()","","Fri Nov 28 04:08:16 UTC 2025","passed","Fri Nov 28 04:08:18 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","51","getTables(String, String, String, String, String, String) [14] null, information_schema, null, TABLE;VIEW, tables;columns, integration_test","","Fri Nov 28 04:06:28 UTC 2025","passed","Fri Nov 28 04:06:28 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","55","getSchemasInformationSchema(String, String, String) [6] {database}, null, information_schema","","Fri Nov 28 04:08:44 UTC 2025","passed","Fri Nov 28 04:08:44 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","48","infFloatAsDoubleSystemEngine(String) [1] select 'inf'::float","","Fri Nov 28 04:07:39 UTC 2025","passed","Fri Nov 28 04:07:39 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleSystemEngine"
"","754","executeCancelServerSideAsyncQueryWorksOnDifferentEngines()","","Fri Nov 28 04:05:15 UTC 2025","passed","Fri Nov 28 04:05:16 UTC 2025","","integration.tests.AsyncQueryTest","integration.tests.AsyncQueryTest","executeCancelServerSideAsyncQueryWorksOnDifferentEngines"
