"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","getTables(String, String, String, String, String, String) [11] null, public, null, TABLE;VIEW, integration_test, tables;columns;views","","Wed Apr 29 07:15:14 UTC 2026","passed","Wed Apr 29 07:15:14 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","16","infRealUserEngine(String) [2] select '+inf'::real","","Wed Apr 29 07:16:25 UTC 2026","passed","Wed Apr 29 07:16:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infRealUserEngine"
"","1053","empty(String) query:--;","","Wed Apr 29 07:17:16 UTC 2026","passed","Wed Apr 29 07:17:17 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","1630","integerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Wed Apr 29 07:15:32 UTC 2026","passed","Wed Apr 29 07:15:34 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","integerAndStringValues"
"","2404","shouldInsertAndSelectBlobClob()","","Wed Apr 29 07:16:20 UTC 2026","passed","Wed Apr 29 07:16:22 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectBlobClob"
"","1227","mixedCaseSelect(String, String) [1] select 1 as lower, 2 as UPPER, 3 AS MiXeD, lower,upper,mixed","","Wed Apr 29 07:17:32 UTC 2026","passed","Wed Apr 29 07:17:33 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","1694","shouldInsertAndSelectDateTime()","","Wed Apr 29 07:15:51 UTC 2026","passed","Wed Apr 29 07:15:53 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndSelectDateTime"
"","170","getTables(String, String, String, String, String, String) [9] null, information_schema, null, null, tables;columns, integration_test","","Wed Apr 29 07:15:14 UTC 2026","passed","Wed Apr 29 07:15:14 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","16","infFloatUserEngine(String) [2] select '+inf'::float","","Wed Apr 29 07:16:25 UTC 2026","passed","Wed Apr 29 07:16:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatUserEngine"
"","2217","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) short","","Wed Apr 29 07:16:07 UTC 2026","passed","Wed Apr 29 07:16:10 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Wed Apr 29 07:16:22 UTC 2026","skipped","Wed Apr 29 07:16:22 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","2828","nullableBiDimensionalArray()","","Wed Apr 29 07:15:43 UTC 2026","passed","Wed Apr 29 07:15:46 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","8391","shouldExecuteBatch()","","Wed Apr 29 07:17:23 UTC 2026","passed","Wed Apr 29 07:17:31 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldExecuteBatch"
"","1182","shouldGetBooleans()","","Wed Apr 29 07:17:20 UTC 2026","passed","Wed Apr 29 07:17:21 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetBooleans"
"","30","nanDoubleUserEngine(String) [3] select '-nan'::double","","Wed Apr 29 07:16:25 UTC 2026","passed","Wed Apr 29 07:16:25 UTC 2026","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","132","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings()","","Wed Apr 29 07:24:47 UTC 2026","passed","Wed Apr 29 07:24:47 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutesWhenUsingTime_ZoneSettings"
"","1724","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Wed Apr 29 07:17:04 UTC 2026","passed","Wed Apr 29 07:17:06 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","1537","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) int","","Wed Apr 29 07:16:10 UTC 2026","passed","Wed Apr 29 07:16:11 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","159","getTables(String, String, String, String, String, String) [3] null, null, null, VIEW;TABLE, integration_test;tables;views, null","","Wed Apr 29 07:15:13 UTC 2026","passed","Wed Apr 29 07:15:13 UTC 2026","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1601","shouldFetchTimestampAndDate(Object, Object, boolean) [4] 2019-07-31 11:15:13.0, 2019-07-31, false","","Wed Apr 29 07:16:02 UTC 2026","passed","Wed Apr 29 07:16:03 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","1002","shouldReuseStatementWhenNotCloseOnCompletion()","","Wed Apr 29 07:17:38 UTC 2026","passed","Wed Apr 29 07:17:39 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReuseStatementWhenNotCloseOnCompletion"
"","1991","mixedCaseTable(String, String, String, String) [1] CREATE FACT TABLE Case_Test (x long), case_test, Case_Test, case_test","","Wed Apr 29 07:17:40 UTC 2026","passed","Wed Apr 29 07:17:42 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","804","shouldSelect1WithEngine()","","Wed Apr 29 07:17:31 UTC 2026","passed","Wed Apr 29 07:17:32 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithEngine"
"","12","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Wed Apr 29 07:24:49 UTC 2026","passed","Wed Apr 29 07:24:49 UTC 2026","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","211","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()","","Wed Apr 29 07:24:46 UTC 2026","passed","Wed Apr 29 07:24:46 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged"
"","1161","shouldSelect1WithQueryTimeout()","","Wed Apr 29 07:17:11 UTC 2026","passed","Wed Apr 29 07:17:13 UTC 2026","","integration.tests.StatementTest","integration.tests.StatementTest","shouldSelect1WithQueryTimeout"
"","1580","nullArrays(PreparedStatementValueSetter) set OBJECT","","Wed Apr 29 07:15:42 UTC 2026","passed","Wed Apr 29 07:15:43 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","1557","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) byte","","Wed Apr 29 07:16:06 UTC 2026","passed","Wed Apr 29 07:16:07 UTC 2026","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","1537","emptyIntAndStringValues(PreparedStatementValueSetter) set ARRAY","","Wed Apr 29 07:15:37 UTC 2026","passed","Wed Apr 29 07:15:38 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntAndStringValues"
"","153","shouldGetParsedTimeStampExtTimeObjects()","","Wed Apr 29 07:24:46 UTC 2026","passed","Wed Apr 29 07:24:47 UTC 2026","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","1318","byteaArray()","","Wed Apr 29 07:15:36 UTC 2026","passed","Wed Apr 29 07:15:37 UTC 2026","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","2038","unsuccessfulConnectV1(boolean, boolean) using db:false engine:false","","Wed Apr 29 07:15:06 UTC 2026","passed","Wed Apr 29 07:15:08 UTC 2026","","integration.tests.ConnectionTest","integration.tests.ConnectionTest","unsuccessfulConnectV1"
