"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","getColumns(String, String, String, String, String, String) [33] null, null, null, does-not-exist, null, information_schema.columns.column_name","","Fri Nov 07 09:06:08 UTC 2025","passed","Fri Nov 07 09:06:08 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","309","maxFieldSize(int) [1] 1","","Fri Nov 07 09:05:31 UTC 2025","passed","Fri Nov 07 09:05:31 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","482","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Fri Nov 07 09:04:36 UTC 2025","passed","Fri Nov 07 09:04:37 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","719","shouldReplaceParamMarkersInMultistatementStatement()","","Fri Nov 07 09:04:30 UTC 2025","passed","Fri Nov 07 09:04:31 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldReplaceParamMarkersInMultistatementStatement"
"","82","getColumns(String, String, String, String, String, String) [9] {database}, %schema, null, null, information_schema.columns.column_name, null","","Fri Nov 07 09:06:07 UTC 2025","passed","Fri Nov 07 09:06:07 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","458","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse()","","Fri Nov 07 09:15:47 UTC 2025","passed","Fri Nov 07 09:15:48 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitTransactionWhenConnectionClosesOnAutoCommitFalse"
"","532","emptyIntegerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Nov 07 09:04:22 UTC 2025","passed","Fri Nov 07 09:04:23 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","315","shouldSetParametersWithRepeatingValues()","","Fri Nov 07 09:04:30 UTC 2025","passed","Fri Nov 07 09:04:30 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldSetParametersWithRepeatingValues"
"","351","shouldResetTheParameterIndex()","","Fri Nov 07 09:04:32 UTC 2025","passed","Fri Nov 07 09:04:32 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldResetTheParameterIndex"
"","50","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET()","","Fri Nov 07 09:15:37 UTC 2025","passed","Fri Nov 07 09:15:37 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChangedCET"
"","494","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) byte","","Fri Nov 07 09:04:49 UTC 2025","passed","Fri Nov 07 09:04:49 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","323","shouldFetchSpecialCharacters()","","Fri Nov 07 09:04:33 UTC 2025","passed","Fri Nov 07 09:04:33 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFetchSpecialCharacters"
"","566","mixedCaseTable(String, String, String, String) [2] CREATE FACT TABLE ""Case_Test"" (x long), Case_Test, case_test, ""Case_Test""","","Fri Nov 07 09:06:02 UTC 2025","passed","Fri Nov 07 09:06:02 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseTable"
"","27833","shouldCancelQueryV2()","","Fri Nov 07 09:04:57 UTC 2025","passed","Fri Nov 07 09:05:25 UTC 2025","","integration.tests.StatementCancelTest","integration.tests.StatementCancelTest","shouldCancelQueryV2"
"","890","shouldCommitTableCreationAndDataInsertion()","","Fri Nov 07 09:15:52 UTC 2025","passed","Fri Nov 07 09:15:53 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldCommitTableCreationAndDataInsertion"
"","54","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Fri Nov 07 09:04:14 UTC 2025","passed","Fri Nov 07 09:04:14 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","46","nanDoubleSystemEngine(String) [1] select 'nan'::double","","Fri Nov 07 09:04:57 UTC 2025","passed","Fri Nov 07 09:04:57 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleSystemEngine"
"","55","getSchemasInformationSchema(String, String, String) [10] {database}, %form%, information_schema","","Fri Nov 07 09:06:04 UTC 2025","passed","Fri Nov 07 09:06:04 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","525","preparedStatementUsingExplicitNulls()","","Fri Nov 07 09:04:20 UTC 2025","passed","Fri Nov 07 09:04:20 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingExplicitNulls"
"","68412","useEngine()","","Fri Nov 07 09:06:38 UTC 2025","passed","Fri Nov 07 09:07:46 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","useEngine"
"","52","getTables(String, String, String, String, String, String) [26] {database}, null, %in%, VIEW, engines, tables","","Fri Nov 07 09:06:06 UTC 2025","passed","Fri Nov 07 09:06:06 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","48","nanRealSystemEngine(String) [2] select '+nan'::real","","Fri Nov 07 09:04:57 UTC 2025","passed","Fri Nov 07 09:04:57 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealSystemEngine"
"","51","getTables(String, String, String, String, String, String) [27] {database}, information_schema, %in%, VIEW, engines, tables","","Fri Nov 07 09:06:06 UTC 2025","passed","Fri Nov 07 09:06:06 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","1180","shouldHandleSequentialTransactions()","","Fri Nov 07 09:15:45 UTC 2025","passed","Fri Nov 07 09:15:46 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldHandleSequentialTransactions"
"","290","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Fri Nov 07 09:05:49 UTC 2025","passed","Fri Nov 07 09:05:49 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","59","getColumns(String, String, String, String, String, String) [18] {database}, information%, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Fri Nov 07 09:06:07 UTC 2025","passed","Fri Nov 07 09:06:07 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","60","getColumns(String, String, String, String, String, String) [11] null, null, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Fri Nov 07 09:06:07 UTC 2025","passed","Fri Nov 07 09:06:07 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","1564","shouldInsertAndSelectComplexStruct()","","Fri Nov 07 09:04:33 UTC 2025","passed","Fri Nov 07 09:04:35 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertAndSelectComplexStruct"
"","45","infFloatAsDoubleUserEngine(String) [1] select 'inf'::float","","Fri Nov 07 09:04:56 UTC 2025","passed","Fri Nov 07 09:04:56 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","infFloatAsDoubleUserEngine"
"","46","minusInfRealUserEngine(String) [1] select '-inf'::real","","Fri Nov 07 09:04:56 UTC 2025","passed","Fri Nov 07 09:04:57 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfRealUserEngine"
"","61","getColumns(String, String, String, String, String, String) [16] {database}, null, %in%, null, information_schema.engines.engine_name, information_schema.tables.table_name","","Fri Nov 07 09:06:07 UTC 2025","passed","Fri Nov 07 09:06:07 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","609","shouldFailToSelectFromCustomDbUsingSystemEngine()","","Fri Nov 07 09:08:57 UTC 2025","passed","Fri Nov 07 09:08:58 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldFailToSelectFromCustomDbUsingSystemEngine"
"","47","minusInfFloatAsDoubleSystemEngine(String) [1] select '-inf'::float","","Fri Nov 07 09:04:56 UTC 2025","passed","Fri Nov 07 09:04:56 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","minusInfFloatAsDoubleSystemEngine"
"","537","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false","","Fri Nov 07 09:04:45 UTC 2025","passed","Fri Nov 07 09:04:46 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","293","byteaArray()","","Fri Nov 07 09:04:25 UTC 2025","passed","Fri Nov 07 09:04:26 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","byteaArray"
"","305","maxFieldSize(int) [3] 5","","Fri Nov 07 09:05:31 UTC 2025","passed","Fri Nov 07 09:05:32 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","304","nullSortOrder()","","Fri Nov 07 09:06:01 UTC 2025","passed","Fri Nov 07 09:06:01 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","nullSortOrder"
"","53","getTables(String, String, String, String, String, String) [6] null, null, %account%, null, accounts;service_accounts, tables;columns;views","","Fri Nov 07 09:04:14 UTC 2025","passed","Fri Nov 07 09:04:14 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","261","empty(String) query:;","","Fri Nov 07 09:05:34 UTC 2025","passed","Fri Nov 07 09:05:34 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","76","shouldThrowExceptionWhenCommitingWithNoTransaction()","","Fri Nov 07 09:15:51 UTC 2025","passed","Fri Nov 07 09:15:51 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldThrowExceptionWhenCommitingWithNoTransaction"
"","54","getSchemasInformationSchema(String, String, String) [7] {database}, information_schema, information_schema","","Fri Nov 07 09:06:04 UTC 2025","passed","Fri Nov 07 09:06:04 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","500","preparedStatementUsingDefaultNulls()","","Fri Nov 07 09:04:21 UTC 2025","passed","Fri Nov 07 09:04:21 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingDefaultNulls"
"","350","unlimitedMaxFieldSize(int) [2] -1","","Fri Nov 07 09:05:25 UTC 2025","passed","Fri Nov 07 09:05:26 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","unlimitedMaxFieldSize"
"","0","readOnly()","","Fri Nov 07 09:06:04 UTC 2025","passed","Fri Nov 07 09:06:04 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","readOnly"
"","20572","createTwoConnections()","","Fri Nov 07 09:03:22 UTC 2025","passed","Fri Nov 07 09:03:42 UTC 2025","","integration.tests.CachedConnectionTest","integration.tests.CachedConnectionTest","createTwoConnections"
"","49","getTables(String, String, String, String, String, String) [28] {database}, information%, %in%, VIEW, engines, tables","","Fri Nov 07 09:06:06 UTC 2025","passed","Fri Nov 07 09:06:06 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","43","shouldSelect1()","","Fri Nov 07 09:09:26 UTC 2025","passed","Fri Nov 07 09:09:26 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldSelect1"
"","52","getTables(String, String, String, String, String, String) [15] null, information_schema, null, VIEW, tables;columns, null","","Fri Nov 07 09:04:14 UTC 2025","passed","Fri Nov 07 09:04:14 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","92","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes()","","Fri Nov 07 09:15:38 UTC 2025","passed","Fri Nov 07 09:15:38 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldReturnTimestampFromTimestampTzWithTzWithHoursAndMinutes"
"","952","shouldNotCommitTransactionWhenCommitWasManuallyExecuted()","","Fri Nov 07 09:15:46 UTC 2025","passed","Fri Nov 07 09:15:47 UTC 2025","","integration.tests.TransactionTest","integration.tests.TransactionTest","shouldNotCommitTransactionWhenCommitWasManuallyExecuted"
"","639","preparedStatementUsingStringValueContainsStringNull()","","Fri Nov 07 09:04:19 UTC 2025","passed","Fri Nov 07 09:04:20 UTC 2025","","integration.tests.NullableValuesTest","integration.tests.NullableValuesTest","preparedStatementUsingStringValueContainsStringNull"
"","28513","shouldExecuteEngineManagementQueries()","","Fri Nov 07 09:08:58 UTC 2025","passed","Fri Nov 07 09:09:26 UTC 2025","","integration.tests.SystemEngineTest","integration.tests.SystemEngineTest","shouldExecuteEngineManagementQueries"
"","52","getColumns(String, String, String, String, String, String) [31] null, null, null, nobody, null, information_schema.columns.column_name","","Fri Nov 07 09:06:08 UTC 2025","passed","Fri Nov 07 09:06:08 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","46","nanRealUserEngine(String) [1] select 'nan'::real","","Fri Nov 07 09:04:56 UTC 2025","passed","Fri Nov 07 09:04:56 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","712","shouldInsertRecordsInBatch()","","Fri Nov 07 09:04:38 UTC 2025","passed","Fri Nov 07 09:04:39 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldInsertRecordsInBatch"
"","335","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset()","","Fri Nov 07 09:05:30 UTC 2025","passed","Fri Nov 07 09:05:30 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","failedSettingPropertyThatRequiresAdvancedModeThatWasUnset"
"","285","empty(String) query:-- SELECT 1;","","Fri Nov 07 09:05:35 UTC 2025","passed","Fri Nov 07 09:05:35 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","50","getSchemasInformationSchema(String, String, String) [2] null, information_schema, information_schema","","Fri Nov 07 09:06:04 UTC 2025","passed","Fri Nov 07 09:06:04 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","55","getColumns(String, String, String, String, String, String) [22] null, information_schema, %in%, last_altered, information_schema.engines.last_altered, information_schema.engines.engine_name","","Fri Nov 07 09:06:08 UTC 2025","passed","Fri Nov 07 09:06:08 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","327","shouldGetMultipleResultSets()","","Fri Nov 07 09:05:36 UTC 2025","passed","Fri Nov 07 09:05:36 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldGetMultipleResultSets"
"","714","nullableBiDimensionalArray()","","Fri Nov 07 09:04:28 UTC 2025","passed","Fri Nov 07 09:04:28 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullableBiDimensionalArray"
"","50","getSchemasInformationSchema(String, String, String) [8] {database}, information%, information_schema","","Fri Nov 07 09:06:04 UTC 2025","passed","Fri Nov 07 09:06:04 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getSchemasInformationSchema"
"","476","shouldFailSQLInjectionAttempt()","","Fri Nov 07 09:04:29 UTC 2025","passed","Fri Nov 07 09:04:30 UTC 2025","","integration.tests.PreparedStatementFbNumericTest","integration.tests.PreparedStatementFbNumericTest","shouldFailSQLInjectionAttempt"
"","50","getColumns(String, String, String, String, String, String) [24] null, %schema, %in%, table_name, information_schema.indexes.table_name, information_schema.indexes.table_type","","Fri Nov 07 09:06:08 UTC 2025","passed","Fri Nov 07 09:06:08 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getColumns"
"","52","getTables(String, String, String, String, String, String) [14] null, %schema, %in%, null, engines, tables","","Fri Nov 07 09:06:05 UTC 2025","passed","Fri Nov 07 09:06:05 UTC 2025","","integration.tests.SystemEngineDatabaseMetaDataTest","integration.tests.SystemEngineDatabaseMetaDataTest","getTables"
"","521","shouldFetchTimestampAndDate(Object, Object, boolean) [1] 2019-07-31T11:15:13, 2019-07-31, true","","Fri Nov 07 09:04:44 UTC 2025","passed","Fri Nov 07 09:04:45 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
