"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","getTables(String, String, String, String, String, String) [4] null, null, null, TABLE, integration_test, views;tables","","Fri Dec 12 09:30:43 UTC 2025","passed","Fri Dec 12 09:30:44 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","82","nanFloatUserEngine(String) [2] select '+nan'::float","","Fri Dec 12 09:32:10 UTC 2025","passed","Fri Dec 12 09:32:10 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanFloatUserEngine"
"","2865","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets()","","Fri Dec 12 09:32:55 UTC 2025","passed","Fri Dec 12 09:32:58 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldThrowExceptionWhenTryingToExecuteQueryThatWouldReturnMultipleResultSets"
"","244","shouldGetParsedTimeStampExtTimeObjects()","","Fri Dec 12 09:41:09 UTC 2025","passed","Fri Dec 12 09:41:09 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldGetParsedTimeStampExtTimeObjects"
"","2431","maxFieldSize(int) [2] 3","","Fri Dec 12 09:33:00 UTC 2025","passed","Fri Dec 12 09:33:02 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","maxFieldSize"
"","1231","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime()","","Fri Dec 12 09:32:52 UTC 2025","passed","Fri Dec 12 09:32:53 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","successfulSettingOfPropertyThatRequiresAdvancedModePreviouslySetAtRuntime"
"","256","shouldReturnColumnsFromSelect()","","Fri Dec 12 09:30:42 UTC 2025","passed","Fri Dec 12 09:30:42 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","shouldReturnColumnsFromSelect"
"","2511","shouldFetchTimestampAndDate(Object, Object, boolean) [3] 2019-07-31T11:15:13, 2019-07-31, false","","Fri Dec 12 09:31:38 UTC 2025","passed","Fri Dec 12 09:31:40 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchTimestampAndDate"
"","82","nanDoubleUserEngine(String) [2] select '+nan'::double","","Fri Dec 12 09:32:09 UTC 2025","passed","Fri Dec 12 09:32:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","2284","empty(String) query:;","","Fri Dec 12 09:33:13 UTC 2025","passed","Fri Dec 12 09:33:15 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","406","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged()","","Fri Dec 12 09:41:08 UTC 2025","passed","Fri Dec 12 09:41:08 UTC 2025","","integration.tests.TimestampTest","integration.tests.TimestampTest","shouldRemoveOffsetDIffWhenTimestampOffsetHasChanged"
"","11","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo()","","Fri Dec 12 09:41:13 UTC 2025","passed","Fri Dec 12 09:41:13 UTC 2025","","integration.tests.client.UsageTrackingTest","integration.tests.client.UsageTrackingTest","shouldSendRequestWithUserAgentHeaderContainingDriverAndClientInfo"
"","2876","empty(String) query:/* {""app"": ""dbt"", ""dbt_version"": ""0.20.0"", ""profile_name"": ""jaffle_shop"", ""target_name"": ""fb_app"", ""connection_name"": ""macro_stage_external_sources""} */;","","Fri Dec 12 09:33:19 UTC 2025","passed","Fri Dec 12 09:33:22 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","253","getTables(String, String, String, String, String, String) [14] null, information_schema, null, TABLE;VIEW, tables;columns, integration_test","","Fri Dec 12 09:30:46 UTC 2025","passed","Fri Dec 12 09:30:46 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","82","nanDoubleUserEngine(String) [3] select '-nan'::double","","Fri Dec 12 09:32:09 UTC 2025","passed","Fri Dec 12 09:32:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","276","getTables(String, String, String, String, String, String) [1] null, null, null, null, tables;views;integration_test, null","","Fri Dec 12 09:30:42 UTC 2025","passed","Fri Dec 12 09:30:43 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","1449","empty(String) query:     ;","","Fri Dec 12 09:33:15 UTC 2025","passed","Fri Dec 12 09:33:16 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","empty"
"","2508","shouldInsertAndRetrieveUrl()","","Fri Dec 12 09:31:24 UTC 2025","passed","Fri Dec 12 09:31:26 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertAndRetrieveUrl"
"","1251","mixedCaseSelect(String, String) [2] select 1 as ""lower"", 2 as ""UPPER"", 3 AS ""MiXeD"", lower,UPPER,MiXeD","","Fri Dec 12 09:33:37 UTC 2025","passed","Fri Dec 12 09:33:39 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","mixedCaseSelect"
"","2042","emptyIntegerAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 12 09:31:00 UTC 2025","passed","Fri Dec 12 09:31:02 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","emptyIntegerAndStringValues"
"","2182","intAndStringValues(PreparedStatementValueSetter) set ARRAY","","Fri Dec 12 09:30:56 UTC 2025","passed","Fri Dec 12 09:30:58 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","intAndStringValues"
"","251","getTables(String, String, String, String, String, String) [13] null, information_schema, null, TABLE, null, integration_test","","Fri Dec 12 09:30:46 UTC 2025","passed","Fri Dec 12 09:30:46 UTC 2025","","integration.tests.DatabaseMetaDataTest","integration.tests.DatabaseMetaDataTest","getTables"
"","0","shouldFetchBooleanFromVariousObjects(Object, Object)","","Fri Dec 12 09:32:05 UTC 2025","skipped","Fri Dec 12 09:32:05 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchBooleanFromVariousObjects"
"","1452","nullArrays(PreparedStatementValueSetter) set ARRAY","","Fri Dec 12 09:31:16 UTC 2025","passed","Fri Dec 12 09:31:18 UTC 2025","","integration.tests.PreparedStatementArrayTest","integration.tests.PreparedStatementArrayTest","nullArrays"
"","82","nanRealUserEngine(String) [3] select '-nan'::real","","Fri Dec 12 09:32:09 UTC 2025","passed","Fri Dec 12 09:32:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanRealUserEngine"
"","1935","shouldInsertRecordsUsingDifferentNumericTypes(String, CheckedVoidTriFunction, CheckedBiFunction) long","","Fri Dec 12 09:31:52 UTC 2025","passed","Fri Dec 12 09:31:54 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldInsertRecordsUsingDifferentNumericTypes"
"","81","nanDoubleUserEngine(String) [1] select 'nan'::double","","Fri Dec 12 09:32:09 UTC 2025","passed","Fri Dec 12 09:32:09 UTC 2025","","integration.tests.SpecialValuesTest","integration.tests.SpecialValuesTest","nanDoubleUserEngine"
"","2790","shouldParReplaceParamMarkersInMultistatementStatement()","","Fri Dec 12 09:31:29 UTC 2025","passed","Fri Dec 12 09:31:32 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldParReplaceParamMarkersInMultistatementStatement"
"","1920","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet()","","Fri Dec 12 09:32:44 UTC 2025","passed","Fri Dec 12 09:32:46 UTC 2025","","integration.tests.StatementTest","integration.tests.StatementTest","shouldReturnTrueWhenExecutingMultiStatementWithFirstStatementReturningAResultSet"
"","1086","shouldFetchSpecialCharacters()","","Fri Dec 12 09:31:32 UTC 2025","passed","Fri Dec 12 09:31:33 UTC 2025","","integration.tests.PreparedStatementTest","integration.tests.PreparedStatementTest","shouldFetchSpecialCharacters"
